student_id,python,java,javascript,web,react,backend,nodejs,spring_boot,dsa,oop,sql,database,system_design,ai,ml,deep_learning,nlp,computer_vision,data_science,statistics,data_engineering,cloud,devops,docker,linux,cybersecurity,testing,git,interest,goal,level,performance
12,0.41,0.3,0.11,0.75,0.37,0.51,0.66,0.81,0.35,0.07,0.84,0.29,0.57,0.94,0.08,0.59,0.36,0.76,0.44,0.94,0.15,0.86,0.22,0.09,0.44,0.52,0.78,0.67,Web Development,Backend Developer,Intermediate,43.85
13,0.65,0.35,0.33,0.81,0.7,0.32,0.33,0.42,0.41,0.32,0.16,0.43,0.9,0.66,0.86,0.6,0.32,0.54,0.05,0.31,0.44,0.57,0.64,0.47,0.45,0.24,0.48,0.86,Backend Development,Cloud Engineer,Beginner,55.61
14,0.65,0.61,0.13,0.91,0.26,0.33,0.78,0.18,0.09,0.94,0.6,0.74,0.46,0.85,0.57,0.7,0.4,0.41,0.18,0.67,0.85,0.82,0.85,0.75,0.25,0.77,0.68,0.47,Web Development,QA / Automation Engineer,Beginner,65.11
15,0.77,0.65,0.94,0.59,0.91,0.85,0.6,0.7,0.5,0.8,0.54,0.86,0.72,0.48,0.28,0.27,0.62,0.74,0.52,0.61,0.3,0.12,0.31,0.29,0.34,0.54,0.17,0.26,Backend Development,Cybersecurity Engineer,Beginner,43.53
16,0.42,0.54,0.42,0.24,0.43,0.86,0.58,0.68,0.82,0.74,0.39,0.06,0.37,0.73,0.82,0.91,0.43,0.72,0.54,0.59,0.25,0.25,0.44,0.08,0.35,0.66,0.41,0.2,Data Engineering,Data Scientist,Advanced,69.38
17,0.87,0.58,0.65,0.13,0.44,0.83,0.21,0.28,0.34,0.46,0.35,0.84,0.3,0.91,0.43,0.8,0.47,0.72,0.1,0.91,0.25,0.11,0.91,0.09,0.08,0.27,0.81,0.61,Web Development,Data Scientist,Intermediate,76.82
18,0.56,0.25,0.68,0.74,0.2,0.6,0.72,0.15,0.79,0.92,0.15,0.07,0.33,0.66,0.91,0.41,0.69,0.12,0.67,0.61,0.14,0.75,0.82,0.59,0.16,0.94,0.75,0.36,Software Engineering,Cloud Engineer,Intermediate,43.79
19,0.63,0.06,0.43,0.49,0.44,0.38,0.85,0.46,0.19,0.21,0.52,0.64,0.6,0.88,0.75,0.47,0.79,0.58,0.34,0.27,0.89,0.3,0.46,0.73,0.56,0.65,0.35,0.49,Cybersecurity,Data Scientist,Intermediate,51.67
20,0.77,0.36,0.84,0.68,0.3,0.06,0.9,0.13,0.7,0.49,0.73,0.67,0.63,0.49,0.76,0.13,0.25,0.67,0.33,0.57,0.48,0.53,0.43,0.72,0.35,0.68,0.29,0.28,Data Science,Cybersecurity Engineer,Beginner,57.36
21,0.72,0.91,0.67,0.22,0.71,0.3,0.58,0.73,0.59,0.93,0.8,0.32,0.37,0.32,0.69,0.16,0.09,0.1,0.31,0.9,0.62,0.73,0.14,0.06,0.31,0.48,0.36,0.92,Cloud & DevOps,QA / Automation Engineer,Intermediate,46.27
22,0.11,0.49,0.57,0.67,0.19,0.78,0.9,0.13,0.27,0.55,0.42,0.59,0.61,0.75,0.39,0.87,0.32,0.58,0.44,0.56,0.1,0.91,0.14,0.74,0.61,0.29,0.12,0.27,Data Science,Data Scientist,Beginner,62.47
23,0.67,0.47,0.08,0.31,0.3,0.82,0.11,0.26,0.29,0.76,0.58,0.77,0.23,0.15,0.25,0.18,0.29,0.18,0.1,0.76,0.59,0.79,0.88,0.45,0.47,0.32,0.41,0.3,Data Engineering,Full Stack Developer,Beginner,72.89
24,0.85,0.71,0.59,0.07,0.26,0.66,0.82,0.58,0.07,0.74,0.79,0.57,0.74,0.21,0.52,0.45,0.3,0.95,0.44,0.78,0.92,0.47,0.42,0.34,0.14,0.19,0.42,0.5,Software Engineering,QA / Automation Engineer,Advanced,42.02
25,0.13,0.28,0.15,0.75,0.83,0.79,0.05,0.83,0.47,0.1,0.52,0.61,0.5,0.45,0.1,0.29,0.17,0.31,0.84,0.49,0.08,0.62,0.77,0.69,0.33,0.06,0.42,0.25,Data Science,Full Stack Developer,Beginner,75.62
26,0.19,0.89,0.31,0.68,0.42,0.48,0.47,0.46,0.18,0.22,0.59,0.72,0.17,0.11,0.75,0.82,0.36,0.76,0.29,0.05,0.7,0.8,0.57,0.64,0.83,0.45,0.49,0.35,Software Engineering,Full Stack Developer,Intermediate,87.83
27,0.93,0.26,0.39,0.82,0.42,0.34,0.48,0.87,0.39,0.94,0.76,0.64,0.19,0.92,0.16,0.92,0.35,0.14,0.81,0.14,0.87,0.06,0.18,0.83,0.92,0.12,0.75,0.29,Software Engineering,Cloud Engineer,Beginner,86.85
28,0.82,0.82,0.39,0.33,0.7,0.73,0.84,0.08,0.11,0.62,0.88,0.95,0.72,0.44,0.14,0.62,0.84,0.45,0.67,0.86,0.09,0.77,0.31,0.39,0.18,0.53,0.56,0.76,Backend Development,Data Scientist,Beginner,73.52
29,0.39,0.66,0.5,0.57,0.26,0.62,0.46,0.65,0.86,0.47,0.31,0.54,0.12,0.9,0.94,0.32,0.92,0.67,0.46,0.32,0.95,0.82,0.15,0.39,0.37,0.32,0.68,0.07,Software Engineering,Data Engineer,Beginner,71.13
30,0.67,0.72,0.09,0.6,0.5,0.86,0.31,0.77,0.6,0.37,0.62,0.61,0.66,0.7,0.64,0.8,0.62,0.86,0.63,0.33,0.45,0.57,0.71,0.13,0.32,0.72,0.21,0.17,Cybersecurity,Mobile App Developer,Advanced,90.24
31,0.8,0.28,0.79,0.48,0.78,0.72,0.35,0.15,0.92,0.18,0.92,0.82,0.7,0.93,0.92,0.77,0.38,0.76,0.06,0.53,0.46,0.66,0.66,0.58,0.79,0.9,0.15,0.26,AI / Machine Learning,DevOps Engineer,Advanced,58.04
32,0.6,0.63,0.62,0.47,0.68,0.63,0.16,0.09,0.08,0.95,0.15,0.26,0.53,0.4,0.38,0.9,0.68,0.54,0.58,0.7,0.85,0.64,0.8,0.6,0.9,0.3,0.67,0.25,Data Engineering,Data Analyst,Intermediate,45.46
33,0.67,0.54,0.93,0.37,0.41,0.22,0.16,0.81,0.46,0.65,0.63,0.59,0.07,0.76,0.27,0.16,0.56,0.11,0.74,0.24,0.24,0.83,0.35,0.18,0.86,0.05,0.82,0.18,Backend Development,Mobile App Developer,Intermediate,83.92
34,0.15,0.83,0.17,0.37,0.76,0.58,0.06,0.29,0.16,0.43,0.15,0.11,0.45,0.38,0.58,0.46,0.25,0.6,0.7,0.87,0.64,0.32,0.63,0.08,0.95,0.81,0.43,0.15,Data Engineering,AI / ML Engineer,Beginner,57.72
35,0.18,0.16,0.61,0.58,0.69,0.39,0.59,0.32,0.5,0.44,0.76,0.15,0.64,0.84,0.55,0.83,0.44,0.85,0.42,0.79,0.41,0.71,0.33,0.33,0.28,0.91,0.67,0.48,Data Science,QA / Automation Engineer,Beginner,45.13
36,0.14,0.71,0.78,0.55,0.58,0.56,0.35,0.16,0.37,0.65,0.73,0.83,0.7,0.92,0.59,0.37,0.57,0.24,0.64,0.25,0.15,0.81,0.38,0.74,0.57,0.78,0.81,0.93,AI / Machine Learning,DevOps Engineer,Advanced,85.62
37,0.29,0.21,0.68,0.33,0.36,0.06,0.83,0.56,0.41,0.18,0.62,0.08,0.72,0.24,0.43,0.36,0.38,0.7,0.75,0.56,0.13,0.1,0.19,0.61,0.66,0.29,0.65,0.49,Data Engineering,Frontend Developer,Intermediate,51.86
38,0.51,0.36,0.15,0.66,0.58,0.52,0.33,0.25,0.94,0.1,0.23,0.9,0.74,0.74,0.31,0.16,0.5,0.44,0.17,0.53,0.26,0.55,0.65,0.37,0.41,0.72,0.44,0.46,Data Science,QA / Automation Engineer,Intermediate,71.67
39,0.57,0.69,0.43,0.15,0.07,0.34,0.77,0.61,0.8,0.88,0.13,0.81,0.27,0.58,0.52,0.41,0.33,0.36,0.35,0.2,0.51,0.15,0.51,0.87,0.36,0.7,0.79,0.78,Web Development,AI / ML Engineer,Beginner,54.08
40,0.21,0.19,0.73,0.12,0.91,0.62,0.47,0.56,0.57,0.66,0.84,0.63,0.94,0.34,0.92,0.33,0.45,0.47,0.62,0.77,0.58,0.37,0.12,0.47,0.08,0.38,0.31,0.63,Data Science,DevOps Engineer,Advanced,67.89
41,0.47,0.55,0.76,0.86,0.45,0.78,0.64,0.34,0.48,0.19,0.11,0.14,0.86,0.36,0.69,0.5,0.21,0.27,0.44,0.45,0.52,0.19,0.39,0.3,0.42,0.35,0.59,0.76,Cybersecurity,AI / ML Engineer,Intermediate,45.2
42,0.66,0.31,0.7,0.64,0.87,0.84,0.35,0.57,0.18,0.36,0.92,0.68,0.4,0.59,0.89,0.33,0.39,0.76,0.78,0.65,0.8,0.71,0.67,0.52,0.63,0.43,0.38,0.38,Backend Development,Data Analyst,Intermediate,92.12
43,0.49,0.25,0.17,0.12,0.81,0.14,0.74,0.8,0.85,0.08,0.35,0.74,0.17,0.39,0.2,0.8,0.74,0.78,0.2,0.44,0.42,0.66,0.26,0.45,0.31,0.72,0.45,0.53,Cloud & DevOps,MLOps Engineer,Intermediate,89.72
44,0.22,0.66,0.56,0.45,0.74,0.75,0.5,0.43,0.2,0.23,0.59,0.84,0.1,0.48,0.38,0.89,0.69,0.51,0.16,0.13,0.19,0.45,0.51,0.8,0.13,0.87,0.79,0.85,AI / Machine Learning,Frontend Developer,Beginner,61.8
45,0.39,0.4,0.12,0.25,0.34,0.14,0.69,0.35,0.18,0.08,0.88,0.48,0.8,0.73,0.47,0.6,0.87,0.07,0.24,0.18,0.9,0.6,0.43,0.75,0.26,0.16,0.26,0.63,Data Engineering,AI / ML Engineer,Beginner,86.02
46,0.5,0.53,0.62,0.57,0.7,0.31,0.05,0.37,0.56,0.22,0.65,0.52,0.37,0.91,0.54,0.76,0.51,0.07,0.84,0.09,0.4,0.39,0.72,0.37,0.11,0.27,0.64,0.14,Cybersecurity,Data Scientist,Beginner,59.38
47,0.35,0.63,0.8,0.67,0.93,0.48,0.21,0.17,0.69,0.9,0.08,0.23,0.76,0.85,0.33,0.33,0.41,0.78,0.48,0.08,0.63,0.31,0.83,0.09,0.64,0.3,0.77,0.44,Software Engineering,Cybersecurity Engineer,Intermediate,89.21
48,0.4,0.93,0.5,0.5,0.88,0.52,0.77,0.7,0.12,0.59,0.79,0.54,0.34,0.12,0.64,0.33,0.59,0.43,0.67,0.37,0.09,0.83,0.37,0.95,0.3,0.93,0.9,0.12,Software Engineering,Backend Developer,Advanced,84.06
49,0.66,0.91,0.18,0.6,0.75,0.08,0.11,0.75,0.38,0.39,0.56,0.59,0.66,0.9,0.38,0.74,0.57,0.53,0.41,0.63,0.27,0.15,0.71,0.5,0.4,0.56,0.29,0.28,Data Engineering,Data Analyst,Advanced,55.71
50,0.87,0.49,0.16,0.82,0.46,0.86,0.45,0.13,0.66,0.81,0.34,0.36,0.11,0.54,0.85,0.82,0.69,0.88,0.62,0.76,0.51,0.16,0.23,0.17,0.76,0.07,0.55,0.38,Backend Development,DevOps Engineer,Beginner,43.62
51,0.41,0.7,0.48,0.42,0.42,0.57,0.16,0.34,0.12,0.47,0.52,0.17,0.8,0.55,0.58,0.74,0.17,0.5,0.83,0.8,0.52,0.32,0.2,0.89,0.25,0.9,0.52,0.31,Data Science,Data Engineer,Beginner,74.93
52,0.55,0.16,0.32,0.53,0.5,0.2,0.9,0.19,0.64,0.7,0.59,0.81,0.56,0.79,0.08,0.09,0.63,0.57,0.64,0.74,0.42,0.63,0.5,0.61,0.31,0.91,0.48,0.77,Software Engineering,Data Engineer,Intermediate,44.01
53,0.1,0.45,0.49,0.23,0.6,0.33,0.7,0.71,0.82,0.93,0.17,0.38,0.56,0.34,0.47,0.29,0.27,0.14,0.31,0.4,0.6,0.27,0.83,0.19,0.34,0.57,0.33,0.74,Data Engineering,Mobile App Developer,Intermediate,67.43
54,0.33,0.07,0.9,0.5,0.92,0.24,0.37,0.1,0.5,0.84,0.64,0.47,0.53,0.81,0.44,0.84,0.7,0.74,0.38,0.41,0.56,0.23,0.55,0.12,0.5,0.74,0.3,0.94,Data Science,Data Scientist,Beginner,61.66
55,0.77,0.36,0.9,0.73,0.23,0.51,0.5,0.09,0.17,0.35,0.48,0.46,0.6,0.51,0.35,0.6,0.2,0.94,0.72,0.32,0.35,0.8,0.53,0.69,0.32,0.78,0.38,0.66,Software Engineering,DevOps Engineer,Intermediate,83.82
56,0.7,0.67,0.07,0.48,0.92,0.75,0.75,0.57,0.7,0.58,0.2,0.62,0.61,0.81,0.18,0.66,0.08,0.9,0.15,0.07,0.33,0.19,0.67,0.42,0.75,0.88,0.84,0.71,AI / Machine Learning,Cybersecurity Engineer,Beginner,68.53
57,0.55,0.95,0.48,0.39,0.91,0.46,0.53,0.54,0.66,0.83,0.66,0.77,0.29,0.49,0.91,0.3,0.32,0.9,0.93,0.74,0.68,0.67,0.49,0.48,0.55,0.89,0.7,0.31,Software Engineering,Frontend Developer,Intermediate,92.5
58,0.77,0.31,0.31,0.69,0.36,0.45,0.28,0.48,0.23,0.53,0.89,0.68,0.17,0.6,0.58,0.27,0.65,0.53,0.62,0.1,0.42,0.7,0.14,0.74,0.05,0.55,0.89,0.42,Data Engineering,Full Stack Developer,Advanced,50.97
59,0.92,0.34,0.63,0.87,0.13,0.57,0.53,0.7,0.89,0.87,0.21,0.84,0.21,0.88,0.95,0.41,0.5,0.89,0.92,0.88,0.84,0.06,0.56,0.15,0.93,0.31,0.94,0.54,Data Engineering,Data Scientist,Advanced,65.74
60,0.22,0.15,0.2,0.46,0.28,0.22,0.71,0.76,0.56,0.73,0.21,0.82,0.86,0.79,0.51,0.13,0.65,0.22,0.18,0.34,0.27,0.28,0.26,0.73,0.91,0.32,0.7,0.06,Cybersecurity,Cybersecurity Engineer,Beginner,43.42
61,0.16,0.33,0.41,0.5,0.86,0.68,0.33,0.16,0.87,0.32,0.6,0.25,0.17,0.19,0.72,0.6,0.42,0.54,0.47,0.53,0.65,0.25,0.27,0.73,0.84,0.12,0.45,0.68,Data Science,DevOps Engineer,Beginner,43.4
62,0.54,0.5,0.57,0.18,0.35,0.52,0.15,0.23,0.57,0.13,0.51,0.78,0.46,0.51,0.46,0.1,0.47,0.78,0.7,0.41,0.78,0.72,0.57,0.09,0.36,0.11,0.94,0.89,Data Science,Full Stack Developer,Beginner,55.79
63,0.21,0.17,0.63,0.71,0.92,0.39,0.85,0.45,0.88,0.39,0.12,0.92,0.84,0.17,0.82,0.16,0.94,0.4,0.16,0.93,0.8,0.73,0.93,0.47,0.7,0.43,0.39,0.26,Data Engineering,Backend Developer,Beginner,55.16
64,0.89,0.7,0.15,0.78,0.43,0.74,0.85,0.06,0.24,0.14,0.08,0.59,0.68,0.09,0.72,0.41,0.26,0.25,0.83,0.1,0.5,0.31,0.78,0.71,0.34,0.59,0.66,0.34,Cloud & DevOps,Data Scientist,Advanced,68.67
65,0.42,0.3,0.55,0.58,0.71,0.21,0.66,0.55,0.09,0.36,0.63,0.39,0.52,0.68,0.42,0.32,0.22,0.53,0.27,0.25,0.82,0.18,0.47,0.1,0.42,0.42,0.53,0.4,Cloud & DevOps,Data Analyst,Intermediate,75.57
66,0.88,0.81,0.13,0.7,0.22,0.29,0.66,0.59,0.84,0.22,0.74,0.7,0.55,0.48,0.83,0.35,0.91,0.06,0.89,0.92,0.16,0.95,0.48,0.27,0.59,0.23,0.87,0.55,Cloud & DevOps,Frontend Developer,Intermediate,69.35
67,0.37,0.29,0.51,0.5,0.14,0.93,0.47,0.81,0.87,0.38,0.42,0.56,0.25,0.18,0.28,0.89,0.57,0.43,0.19,0.35,0.39,0.8,0.5,0.64,0.67,0.28,0.79,0.92,Data Engineering,Full Stack Developer,Beginner,80.3
68,0.37,0.18,0.54,0.22,0.85,0.94,0.91,0.52,0.81,0.12,0.79,0.09,0.06,0.17,0.62,0.11,0.19,0.25,0.46,0.1,0.62,0.89,0.87,0.64,0.06,0.53,0.42,0.07,Cloud & DevOps,Mobile App Developer,Intermediate,40.94
69,0.78,0.66,0.78,0.87,0.15,0.14,0.18,0.22,0.52,0.78,0.29,0.41,0.39,0.42,0.56,0.94,0.25,0.67,0.81,0.64,0.82,0.73,0.13,0.39,0.55,0.1,0.06,0.2,Data Engineering,QA / Automation Engineer,Intermediate,75.47
70,0.35,0.93,0.93,0.86,0.88,0.26,0.86,0.67,0.56,0.29,0.88,0.67,0.3,0.54,0.64,0.21,0.82,0.06,0.24,0.18,0.79,0.79,0.89,0.32,0.56,0.56,0.81,0.66,Cybersecurity,Frontend Developer,Advanced,47.7
71,0.94,0.7,0.5,0.93,0.1,0.44,0.8,0.36,0.74,0.91,0.41,0.75,0.08,0.3,0.94,0.49,0.37,0.9,0.44,0.66,0.64,0.13,0.61,0.77,0.69,0.12,0.19,0.69,Backend Development,Cybersecurity Engineer,Intermediate,57.42
72,0.15,0.05,0.33,0.37,0.29,0.17,0.22,0.45,0.55,0.42,0.07,0.37,0.13,0.59,0.34,0.4,0.31,0.4,0.13,0.86,0.86,0.93,0.56,0.2,0.39,0.17,0.32,0.49,Data Science,Data Scientist,Intermediate,55.18
73,0.32,0.75,0.38,0.9,0.7,0.5,0.61,0.46,0.17,0.06,0.41,0.81,0.39,0.83,0.45,0.44,0.79,0.64,0.58,0.32,0.59,0.68,0.48,0.21,0.41,0.34,0.71,0.62,Web Development,Backend Developer,Intermediate,55.42
74,0.76,0.38,0.89,0.23,0.95,0.21,0.74,0.07,0.7,0.9,0.24,0.77,0.8,0.11,0.81,0.77,0.66,0.18,0.32,0.28,0.19,0.43,0.39,0.45,0.59,0.57,0.53,0.88,Software Engineering,Mobile App Developer,Beginner,83.49
75,0.37,0.86,0.53,0.62,0.13,0.74,0.64,0.37,0.63,0.09,0.94,0.66,0.41,0.73,0.92,0.44,0.06,0.28,0.51,0.52,0.57,0.57,0.45,0.4,0.75,0.58,0.5,0.36,AI / Machine Learning,Full Stack Developer,Beginner,56.25
76,0.88,0.13,0.8,0.71,0.36,0.36,0.76,0.52,0.36,0.14,0.7,0.46,0.11,0.09,0.69,0.07,0.36,0.15,0.77,0.89,0.72,0.51,0.55,0.35,0.43,0.47,0.77,0.62,Backend Development,Cloud Engineer,Advanced,63.77
77,0.08,0.6,0.23,0.58,0.4,0.68,0.24,0.73,0.78,0.11,0.14,0.83,0.22,0.34,0.46,0.29,0.83,0.52,0.63,0.59,0.6,0.58,0.36,0.81,0.61,0.78,0.69,0.32,Data Science,Cloud Engineer,Beginner,57.23
78,0.26,0.16,0.39,0.18,0.4,0.59,0.57,0.43,0.49,0.53,0.88,0.89,0.21,0.2,0.31,0.22,0.81,0.61,0.83,0.91,0.49,0.23,0.4,0.56,0.64,0.42,0.49,0.69,Data Engineering,Full Stack Developer,Beginner,44.55
79,0.08,0.73,0.31,0.3,0.53,0.2,0.46,0.72,0.74,0.54,0.15,0.15,0.75,0.79,0.38,0.79,0.09,0.7,0.54,0.94,0.14,0.8,0.73,0.32,0.95,0.45,0.36,0.79,Data Engineering,QA / Automation Engineer,Beginner,82.66
80,0.26,0.78,0.58,0.37,0.69,0.62,0.2,0.18,0.24,0.24,0.1,0.37,0.3,0.53,0.34,0.68,0.31,0.29,0.82,0.94,0.66,0.14,0.92,0.76,0.88,0.94,0.83,0.16,Backend Development,Data Analyst,Beginner,79.13
81,0.8,0.74,0.66,0.49,0.57,0.29,0.42,0.46,0.62,0.84,0.13,0.51,0.3,0.89,0.38,0.91,0.34,0.05,0.75,0.71,0.71,0.46,0.65,0.37,0.11,0.53,0.25,0.44,Web Development,Full Stack Developer,Intermediate,57.76
82,0.31,0.54,0.17,0.82,0.76,0.85,0.74,0.09,0.61,0.8,0.06,0.89,0.19,0.46,0.94,0.44,0.95,0.87,0.84,0.32,0.84,0.84,0.13,0.37,0.12,0.65,0.63,0.1,Cloud & DevOps,Cybersecurity Engineer,Advanced,81.54
83,0.44,0.13,0.14,0.24,0.12,0.58,0.52,0.45,0.06,0.36,0.16,0.82,0.67,0.48,0.26,0.13,0.78,0.14,0.38,0.32,0.39,0.78,0.84,0.63,0.66,0.11,0.56,0.6,Backend Development,Full Stack Developer,Intermediate,79.73
84,0.62,0.19,0.42,0.67,0.82,0.13,0.14,0.73,0.58,0.4,0.92,0.33,0.18,0.3,0.13,0.55,0.59,0.6,0.75,0.67,0.81,0.64,0.32,0.52,0.51,0.72,0.32,0.1,Web Development,Full Stack Developer,Intermediate,46.2
85,0.5,0.58,0.53,0.93,0.94,0.89,0.17,0.82,0.56,0.38,0.66,0.74,0.91,0.74,0.07,0.11,0.29,0.09,0.1,0.76,0.51,0.62,0.5,0.42,0.68,0.12,0.53,0.6,Cloud & DevOps,AI / ML Engineer,Intermediate,44.35
86,0.88,0.93,0.19,0.34,0.58,0.74,0.63,0.63,0.33,0.44,0.91,0.26,0.27,0.88,0.15,0.6,0.1,0.65,0.64,0.21,0.06,0.17,0.06,0.5,0.36,0.52,0.79,0.28,Cybersecurity,Data Scientist,Advanced,82.96
87,0.29,0.85,0.74,0.08,0.78,0.29,0.11,0.69,0.57,0.12,0.46,0.37,0.5,0.56,0.38,0.28,0.14,0.57,0.7,0.26,0.51,0.09,0.83,0.27,0.47,0.39,0.19,0.89,AI / Machine Learning,Mobile App Developer,Advanced,80.74
88,0.43,0.34,0.42,0.7,0.29,0.12,0.39,0.5,0.86,0.21,0.77,0.93,0.91,0.11,0.47,0.3,0.81,0.34,0.55,0.06,0.23,0.56,0.32,0.61,0.47,0.58,0.49,0.75,Web Development,Cybersecurity Engineer,Advanced,81.83
89,0.27,0.06,0.42,0.26,0.36,0.81,0.84,0.91,0.05,0.64,0.81,0.7,0.14,0.53,0.26,0.49,0.1,0.95,0.69,0.13,0.88,0.86,0.52,0.68,0.39,0.93,0.13,0.14,Backend Development,Cloud Engineer,Intermediate,44.12
90,0.56,0.44,0.92,0.26,0.28,0.33,0.77,0.68,0.71,0.34,0.29,0.12,0.23,0.75,0.58,0.19,0.2,0.47,0.42,0.53,0.92,0.24,0.33,0.29,0.16,0.19,0.67,0.79,AI / Machine Learning,Data Analyst,Intermediate,48.16
91,0.69,0.92,0.41,0.09,0.32,0.79,0.21,0.91,0.82,0.55,0.55,0.14,0.14,0.76,0.16,0.11,0.75,0.25,0.23,0.41,0.67,0.89,0.13,0.58,0.88,0.12,0.95,0.23,Data Engineering,MLOps Engineer,Beginner,45.06
92,0.81,0.78,0.16,0.9,0.1,0.88,0.44,0.7,0.5,0.39,0.43,0.37,0.87,0.3,0.45,0.18,0.6,0.61,0.63,0.5,0.84,0.48,0.13,0.39,0.43,0.63,0.77,0.27,AI / Machine Learning,Frontend Developer,Advanced,59.75
93,0.54,0.49,0.87,0.5,0.4,0.21,0.34,0.25,0.86,0.75,0.1,0.94,0.53,0.74,0.95,0.93,0.14,0.64,0.29,0.78,0.88,0.1,0.95,0.25,0.81,0.77,0.37,0.81,Backend Development,Data Scientist,Beginner,72.59
94,0.78,0.68,0.87,0.08,0.68,0.9,0.56,0.56,0.22,0.94,0.84,0.49,0.33,0.49,0.13,0.26,0.25,0.52,0.05,0.88,0.23,0.17,0.7,0.88,0.81,0.34,0.07,0.58,Backend Development,MLOps Engineer,Beginner,86.56
95,0.82,0.91,0.39,0.9,0.41,0.14,0.32,0.17,0.19,0.9,0.76,0.91,0.63,0.21,0.92,0.67,0.89,0.76,0.25,0.58,0.21,0.33,0.67,0.16,0.71,0.9,0.9,0.4,AI / Machine Learning,Data Scientist,Advanced,57.5
96,0.78,0.6,0.63,0.14,0.5,0.35,0.12,0.36,0.34,0.62,0.92,0.79,0.65,0.71,0.35,0.06,0.24,0.67,0.37,0.76,0.7,0.09,0.44,0.43,0.2,0.42,0.84,0.37,Software Engineering,AI / ML Engineer,Intermediate,83.38
97,0.57,0.73,0.25,0.46,0.77,0.08,0.07,0.29,0.14,0.36,0.85,0.19,0.12,0.9,0.93,0.35,0.94,0.85,0.68,0.44,0.64,0.6,0.44,0.1,0.35,0.93,0.42,0.55,Cloud & DevOps,Cloud Engineer,Intermediate,56.36
98,0.14,0.4,0.54,0.49,0.1,0.05,0.13,0.79,0.61,0.48,0.14,0.24,0.62,0.93,0.48,0.15,0.76,0.47,0.86,0.29,0.63,0.4,0.38,0.39,0.22,0.09,0.45,0.29,Cloud & DevOps,DevOps Engineer,Beginner,48.31
